feed,kill,mean_v,pattern_energy,reaction_rate,spectral_centroid_k,high_frequency_fraction
0.035,0.055,0.1456715,0.0011719816,0.013383943,1.7041517,0.0007983024
0.045,0.055,0.16841716,0.001372108,0.017172527,1.5681705,0.00076060614
0.055,0.055,0.16324131,0.0014163667,0.018280081,1.465986,0.0006272886
0.065,0.055,0.13683237,0.0013223408,0.016687963,1.4121469,0.0005933633
0.035,0.06,0.044137076,0.0009005289,0.004248341,2.272333,0.000816981
0.045,0.06,0.05708325,0.0008964303,0.0060659545,1.9394,0.0007364373
0.055,0.06,0.06011303,0.0006912106,0.007003983,1.5227125,0.00056427764
0.065,0.06,0.04340598,0.00060030824,0.0054875133,1.5252051,0.00057592563
0.035,0.065,0.008646965,0.0002910322,0.00086545857,3.4288695,0.0028838054
0.045,0.065,0.010543025,0.00037568426,0.0011629132,3.1339998,0.0034654876
0.055,0.065,0.009660436,0.00039638087,0.001163728,2.9451694,0.0023438039
0.065,0.065,1.44e-43,0.0,0.0,0.0,0.0
0.035,0.07,2.4040347e-34,0.0,0.0,0.0,0.0
0.045,0.07,7.346281e-38,0.0,0.0,0.0,0.0
0.055,0.07,4.441e-42,0.0,0.0,0.0,0.0
0.065,0.07,4e-45,0.0,0.0,0.0,0.0
