frame,time,mean_u,mean_v,total_concentration,reaction_rate,feed_supply,v_removal,gradient_energy,dvdt_reaction_rms,interface_length
0,0.0,0.9745884,0.016622737,0.9912112,0.0013104784,0.0015246958,0.002027974,0.001179368,0.0013990403,0.6717529296875
1,30.0,0.9793971,0.009919865,0.98931706,0.001234992,0.00123617,0.0012102234,0.00041017905,0.0009251775,0.1236572265625
2,60.0,0.97823155,0.010870846,0.9891024,0.0013366506,0.0013061077,0.0013262432,0.0006254586,0.0009455478,0.075927734375
3,90.0,0.9779365,0.010866502,0.98880297,0.0013248543,0.0013238116,0.0013257135,0.00063599815,0.0009225914,0.05712890625
4,120.0,0.9777151,0.011006534,0.9887216,0.0013520211,0.0013370969,0.0013427972,0.000657997,0.0009451125,0.0401611328125
5,150.0,0.97723633,0.011256691,0.9884931,0.0013777288,0.0013658173,0.0013733164,0.0007052688,0.0009799149,0.0301513671875
6,180.0,0.9771384,0.011242566,0.98838097,0.0013697927,0.0013717053,0.001371593,0.00077930884,0.0010150906,0.0172119140625
7,210.0,0.9770041,0.011345504,0.9883497,0.0013930907,0.0013797621,0.0013841514,0.0008581458,0.0010143582,0.0172119140625
8,240.0,0.9764068,0.011696893,0.98810375,0.001440367,0.0014156016,0.001427021,0.00091093016,0.0010256056,0.01708984375
9,270.0,0.9756261,0.01209635,0.9877225,0.0014887314,0.0014624397,0.0014757547,0.0009398376,0.0010314854,0.017333984375
10,300.0,0.97485036,0.012475317,0.9873257,0.0015343684,0.0015089874,0.0015219888,0.0009572208,0.0010364401,0.0172119140625
11,330.0,0.97409415,0.012845277,0.98693943,0.0015794594,0.0015543615,0.0015671237,0.000974379,0.0010463564,0.0169677734375
12,360.0,0.97334003,0.0132160885,0.9865562,0.00162473,0.001599605,0.0016123629,0.0009940136,0.0010599149,0.0169677734375
13,390.0,0.9725873,0.013585948,0.9861733,0.001669764,0.0016447722,0.0016574857,0.0010147893,0.0010715263,0.0169677734375
14,420.0,0.97183836,0.013953827,0.9857922,0.0017146474,0.0016897055,0.0017023669,0.0010360279,0.0010818732,0.016845703125
15,450.0,0.9710864,0.014324385,0.9854108,0.0017600155,0.001734823,0.0017475751,0.0010586134,0.0010946087,0.016845703125
16,480.0,0.97032565,0.014699781,0.9850254,0.0018059488,0.0017804707,0.0017933734,0.0010825684,0.0011080084,0.0169677734375
17,510.0,0.96955776,0.0150783425,0.98463607,0.0018522311,0.0018265443,0.0018395577,0.0011071694,0.0011199932,0.01708984375
18,540.0,0.9687819,0.015461156,0.98424304,0.0018991325,0.001873093,0.001886261,0.0011327247,0.0011332289,0.0172119140625
19,570.0,0.96799374,0.015850622,0.9838443,0.0019468674,0.0019203878,0.0019337758,0.0011597904,0.0011480672,0.0172119140625
20,600.0,0.9671932,0.016245943,0.9834391,0.001995272,0.0019684182,0.0019820048,0.0011880299,0.0011625794,0.0172119140625
21,630.0,0.9663812,0.016646903,0.9830282,0.0020444067,0.0020171346,0.002030922,0.0012174854,0.0011775128,0.0172119140625
22,660.0,0.9655551,0.017055305,0.98261034,0.0020944977,0.0020667058,0.0020807474,0.001248718,0.0011939843,0.01708984375
23,690.0,0.96471334,0.017471414,0.98218477,0.0021455125,0.0021172098,0.0021315126,0.0012816633,0.0012103035,0.0174560546875
24,720.0,0.96385527,0.017895753,0.9817511,0.0021975997,0.0021686899,0.0021832818,0.0013163082,0.0012271233,0.0174560546875
25,750.0,0.9629765,0.018331012,0.9813075,0.0022511017,0.002221418,0.0022363835,0.0013531933,0.0012457572,0.017578125
26,780.0,0.9620738,0.018778244,0.9808521,0.0023060516,0.0022755761,0.0022909457,0.0013922576,0.0012647125,0.017578125
27,810.0,0.9611472,0.019237384,0.9803846,0.0023624995,0.0023311758,0.0023469608,0.0014330494,0.0012833076,0.017578125
28,840.0,0.96019197,0.019711364,0.97990334,0.0024208766,0.0023884894,0.0024047864,0.0014759055,0.0013036983,0.017578125
29,870.0,0.9592038,0.020201921,0.97940576,0.0024812443,0.0024477802,0.0024646344,0.0015208081,0.001325013,0.017578125
30,900.0,0.9581864,0.020706128,0.97889245,0.0025431532,0.0025088256,0.0025261475,0.0015666083,0.0013440747,0.017822265625
